"CODIGO_DANE","MUNICIPIO","DEPTO","COD_LOCAL","LOCAL","EST_DIRECCION","NIT","OPERADOR","CONTRATO"
"05001","MEDELLÍN","ANTIOQUIA","42.183","WINNER GROUP S.A.","CL 50   52  56","830037843","BROADWAY COLOMBIA","C2093"
"05001","MEDELLÍN","ANTIOQUIA","42.183","WINNER GROUP S.A.","CL 50   52  56","830037843","BROADWAY COLOMBIA","C1940"
"05001","MEDELLÍN","ANTIOQUIA","42.185","WINNER GROUP S.A.","CR 53   47  33","830037843","BROADWAY GUAYAQUIL","C2093"
"05001","MEDELLÍN","ANTIOQUIA","42.322","WINNER GROUP S.A.","CL 50   52  56","830037843","BROADWAY COLOMBIA","C1940"
"05001","MEDELLÍN","ANTIOQUIA","42.325","WINNER GROUP S.A.","CR 53   47  33","830037843","BROADWAY GUAYAQUIL","C1940"
"70001","SINCELEJO","SUCRE","54.648","SILVER TECH CO SAS","CL 20   24  95","901510914","CASINO FANTASY PENITAS","C1824"
"05001","MEDELLÍN","ANTIOQUIA","42.346","WINNER GROUP S.A.","CL 52   46  34","830037843","CARIBE CASINO LA PLAYA","C2093"
"05001","MEDELLÍN","ANTIOQUIA","42.359","WINNER GROUP S.A.","CIR 5   69  91","830037843","BROADWAY CASINO LA 70","C1817"
"05001","MEDELLÍN","ANTIOQUIA","42.360","WINNER GROUP S.A.","CR 80   48 B 68","830037843","HAVANA CASINO LA 80","C2093"
"05001","MEDELLÍN","ANTIOQUIA","42.362","WINNER GROUP S.A.","CR 43 A SUR 6  15 LOCAL 2645","830037843","BROADWAY OVIEDO","C1817"
"05001","MEDELLÍN","ANTIOQUIA","42.610","PLAY CITY COLOMBIA S.A.S.","CR 70   47  15","901014972","CASINO LOS 777","C1829"
"05001","MEDELLÍN","ANTIOQUIA","42.611","PLAY CITY COLOMBIA S.A.S.","CR 47   58  40","901014972","JUEGOS EL DOLLAR","C2044"
"05001","MEDELLÍN","ANTIOQUIA","42.781","COMERCIALIZADORA TECHNOLOGY S.A.S.","CR 54   45  30","901001934","CASINO NEW YORK N2","C1859"
"05001","MEDELLÍN","ANTIOQUIA","44.379","PUERTO BELEN S.A.S.","CL 49   30  13","900996338","BAR MAQUINAS EL TESORO","C2013"
"05001","MEDELLÍN","ANTIOQUIA","44.386","PUERTO BELEN S.A.S.","CR 53   53  35","900996338","SALON DE JUEGOS EL RUBI","C2013"
"05001","MEDELLÍN","ANTIOQUIA","43.964","INVERSIONES MADISON LTDA.","CR 45   79  23","811042306","Casino Viejo Toño","C1949"
"05001","MEDELLÍN","ANTIOQUIA","44.084","CODERE COLOMBIA S.A.","CL 44   82  48","860520306","SALON JUAN FELIPE","C1948"
